papers,host,parasite,index
"BAER, J.G. et.al. (1962) [17089] (used parasite: Pedibothrium hutsoni | used host: Ginglymostoma concolor)",Nebrius ferrugineus,Pachybothrium hutsoni,17089
"CAIRA, J.N. et.al. (1999) [16929]",Nebrius ferrugineus,Pachybothrium hutsoni,16929
"CAIRA, J.N. et.al. (2004) [7587]",Nebrius ferrugineus,Pedibothrium cabrali,7587
"CAIRA, J.N. (1992) [13651]",Nebrius ferrugineus,Pedibothrium kerkhami,13651
"CAIRA, J.N. et.al. (2004) [7587]",Nebrius ferrugineus,Pedibothrium kistnerae,7587
"CAIRA, J.N. et.al. (2004) [7587]",Nebrius ferrugineus,Pedibothrium lloydae,7587
"CAIRA, J.N. et.al. (2004) [7587]",Nebrius ferrugineus,Pedibothrium mounseyi,7587
"CAIRA, J.N. et.al. (2004) [7587]",Nebrius ferrugineus,Pedibothrium puerobesus,7587
"WILLIAMS, H.H. (1968) [16443] ( used host: Ginglymostoma concolor)",Nebrius ferrugineus,Phyllobothrium microsomum,16443
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Pseudolacistorhynchus matheri,16112
"BEVERIDGE, I. et.al. (1998) [16256] (used parasite: Grillotia shipleyi | used host: Ginglymostoma concolor)",Nebrius ferrugineus,Pseudolacistorhynchus shipleyi,16256
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Pseudolacistorhynchus shipleyi,16112
"DESHMUKH, R.A. et.al. (1980) [16299] ( used host: Ginglymostoma concolor)",Nebrius ferrugineus,Spinibiloculus ratnagiriensis,16299
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Tetrarhynchobothrium unionifactor,16112
"DESHMUKH, R.A. (1979) [16296] ( used host: Ginglymostoma concolor)",Nebrius ferrugineus,Yorkeria southwelli,16296
"NAGATY, H.F. et.al. (1961) [23393] ( used host: Nebrius concolor)",Nebrius ferrugineus,Nagmia nebrii,23393
"NAGATY, H.F. et.al. (1961) [23393] ( used host: Nebrius concolor)",Nebrius ferrugineus,Pernagmia concolori,23393
"NAGATY, H.F. et.al. (1961) [23393] ( used host: Nebrius concolor)",Nebrius ferrugineus,Pernagmia nebrii,23393
"OTA, Y. (2014) [21529]",Nebrius ferrugineus,Gnathia dejimagi,21529
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia dejimagi,22155
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia grandilaris,22155
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia maculosa,22155
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia nubila,22155
"OTA, Y. (2011) [13079]",Nebrius ferrugineus,Gnathia teruyukiae,13079
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia teruyukiae,22155
"OTA, Y. et.al. (2012) [17188]",Nebrius ferrugineus,Gnathia trimaculata,17188
"OTA, Y. (2015) [22155]",Nebrius ferrugineus,Gnathia trimaculata,22155
"MOREIRA, P.S. et.al. (1978) [23898] ( used host: Nebrius concolor)",Nebrius ferrugineus,Praniza javana,23898
"GLEESON, R.J. et.al. (2011) [13965]",Negaprion acutidens,Ceratomyxa negaprioni,13965
"RUHNKE, T.R. et.al. (2013) [19402]",Negaprion acutidens,Alexandercestus gibsoni,19402
"RUHNKE, T.R. et.al. (2013) [19402]",Negaprion acutidens,Alexandercestus manteri,19402
"MALEKI, L. et.al. (2020) [28903]",Negaprion acutidens,Alexandercestus masoumehae,28903
"PALM, H.W. (2004) [16112]",Negaprion acutidens,Otobothrium sp,16112
"BEVERIDGE, I. et.al. (2007) [12209]",Negaprion acutidens,Paragrillotia spratti,12209
"CAIRA, J.N. et.al. (2005) [16205]",Negaprion acutidens,Phoreiobothrium perilocrocodilus,16205
"HEALY, C.J. (2003) [7384]",Negaprion acutidens,Platybothrium jondoeorum,7384
"RUHNKE, T.R. et.al. (2006) [16104] (used parasite: Paraorygmatobothrium arnoldi )",Negaprion acutidens,Scyphophyllidium arnoldi,16104
"CAIRA, J.N. et.al. (2009) [7582]",Negaprion acutidens,Triloculatum andersonorum,7582
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia albipalpebrata,22155
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia dejimagi,22155
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia grandilaris,22155
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia maculosa,22155
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia nubila,22155
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia rufescens,22155
"OTA, Y. et.al. (2012) [17188]",Negaprion acutidens,Gnathia trimaculata,17188
"OTA, Y. (2015) [22155]",Negaprion acutidens,Gnathia trimaculata,22155
"DALY, R. et.al. (2019) [26971]",Negaprion acutidens,Pontobdella macrothela,26971
"CHEUNG, P.J. et.al. (1983) [5987]",Negaprion brevirostris,Dermophthirius nigrellii,5987
"YOUNG, J.M. et.al. (2013) [20260]",Negaprion brevirostris,Dermophthirius nigrellii,20260
"SPROSTON, N.G. (1946) [17150] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Heteronchocotyle hypoprioni,17150
"PRICE, E.W. (1963) [19880]",Negaprion brevirostris,Neodermophthirius harkemai,19880
"HENDRIX, S.S. (1994) [17205]",Negaprion brevirostris,Neodermophthirius harkemai,17205
"POYNTON, S.L. et.al. (1997) [6111]",Negaprion brevirostris,Neodermophthirius harkemai,6111
"SHULER, R.H. (1938) [16171]",Negaprion brevirostris,Anthobothrium laciniatum,16171
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Callitetrarhynchus gracilis,16112
"SHULER, R.H. (1938) [16171] (used parasite: Tentacularia pseudodera | used host: Hypoprion brevirostris)",Negaprion brevirostris,Callitetrarhynchus speciosus,16171
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Callitetrarhynchus speciosus,16112
"DOLLFUS, R.-P. (1969) [16304]",Negaprion brevirostris,Dasyrhynchus giganteus,16304
"BEVERIDGE, I. et.al. (1993) [5977]",Negaprion brevirostris,Dasyrhynchus giganteus,5977
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Dasyrhynchus giganteus,16112
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Dasyrhynchus variouncinatus,16112
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Negaprion brevirostris,Floriceps caballeroi,23771
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Floriceps saccatus,16112
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Otobothrium penetrans,16112
"CAIRA, J.N. et.al. (2005) [16205]",Negaprion brevirostris,Phoreiobothrium anticaporum,16205
"SHULER, R.H. (1938) [16171] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Phoreiobothrium lasium,16171
"SHULER, R.H. (1938) [16171] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Phyllobothrium dasybati,16171
"SHULER, R.H. (1938) [16171] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Phyllobothrium lactuca,16171
"EUZET, L. (1953) [16307] (used parasite: Dicranobothrium harpago )",Negaprion brevirostris,Platybothrium harpago,16307
"HEALY, C.J. (2003) [7384]",Negaprion brevirostris,Platybothrium harpago,7384
"POTTER, C.C. (1937) [16370] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Platybothrium hypoprioni,16370
"SHULER, R.H. (1938) [16171] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Platybothrium hypoprioni,16171
"HEALY, C.J. (2003) [7384]",Negaprion brevirostris,Platybothrium hypoprioni,7384
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Poecilancistrium caryophyllum,16112
"SHULER, R.H. (1938) [16171] (used parasite: Tentacularia perelica | used host: Hypoprion brevirostris)",Negaprion brevirostris,Pseudogrillotia perelica,16171
"PALM, H.W. (2004) [16112]",Negaprion brevirostris,Pseudogrillotia perelica,16112
"RUHNKE, T.R. et.al. (2006) [16104] (used parasite: Paraorygmatobothrium roberti )",Negaprion brevirostris,Scyphophyllidium roberti,16104
"SHULER, R.H. (1938) [16171] ( used host: Hypoprion brevirostris)",Negaprion brevirostris,Tentacularia insignis,16171
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Alebion carchariae,16589
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Kroyeria spatulata,16589
"DEETS, G.B. (1994) [17867]",Negaprion brevirostris,Kroyeria spatulata,17867
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Nemesis pilosus,16589
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Nesippus orientalis,16589
"CRESSEY, R.F. (1967) [16599]",Negaprion brevirostris,Pandarus sinuatus,16599
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Pandarus sinuatus,16589
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Paralebion elongatus,16589
"CRESSEY, R.F. (1970) [16589]",Negaprion brevirostris,Perissopus dentatus,16589
"WILLIAMS, E.H. (1982) [25688] (used parasite: Stibarobdella macrothela )",Negaprion brevirostris,Pontobdella macrothela,25688
"CAMPBELL, R.A. et.al. (2002) [16128] ( used host: Dasyatis annotata)",Neotrygon annotata,Acanthobothrium sp,16128
"GLEESON, R.J. et.al. (2012) [15542]",Neotrygon kuhlii,Chloromyxum kuhlii,15542
"GLEESON, R.J. et.al. (2010) [21484]",Neotrygon kuhlii,Kudoa hemiscylli,21484
"YOUNG, P.C. (1967) [17104] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Dendromonocotyle kuhlii,17104
"CHISHOLM, L.A. et.al. (1995) [17437]",Neotrygon kuhlii,Dendromonocotyle kuhlii,17437
"CHISHOLM, L.A. et.al. (2004) [9445] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Dendromonocotyle kuhlii,9445
"VAUGHAN, D.B. et.al. (2009) [9460]",Neotrygon kuhlii,Dendromonocotyle kuhlii,9460
"CHISHOLM, L.A. et.al. (2005) [7581] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Empruthotrema stenophallus,7581
"YOUNG, P.C. (1967) [17104] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Monocotyle kuhlii,17104
"CHISHOLM, L.A. (1998) [17001] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Monocotyle kuhlii,17001
"YOUNG, P.C. (1967) [17104] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Monocotyle tritestis,17104
"CHISHOLM, L.A. (1998) [17001] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Monocotyle tritestis,17001
"KEARN, G.C. (1978) [15241] (used parasite: Entobdella australis | used host: Amphotistius kuhlii)",Neotrygon kuhlii,Neoentobdella australis,15241
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Acanthobothrium bengalense,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Acanthobothrium bengalense,16448
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Acanthobothrium confusum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Neotrygon kuhlii,Acanthobothrium confusum,28741
"SOUTHWELL, T. (1925) [16408] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium coronatum,16408
"BAER, J.G. et.al. (1962) [17089] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium coronatum,17089
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Acanthobothrium coronatum,16448
"SOUTHWELL, T. (1912) [26667] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium herdmani,26667
"SOUTHWELL, T. (1925) [16408] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium herdmani,16408
"BAER, J.G. (1948) [16247] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Acanthobothrium herdmani,16247
"BAER, J.G. et.al. (1962) [17089] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium herdmani,17089
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Neotrygon kuhlii,Acanthobothrium herdmani,28741
"WANG, P.Q. (1984) [16435] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Acanthobothrium pintanensis,16435
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Neotrygon kuhlii,Acanthobothrium pintanensis,28741
"SOUTHWELL, T. (1925) [16408] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium uncinatum,16408
"BAER, J.G. et.al. (1962) [17089] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Acanthobothrium uncinatum,17089
"BAER, J.G. (1948) [16247] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Acanthobothrium zschokkei,16247
"JENSEN, K. et.al. (2016) [23959] ( used host: Neotrygon cf. kuhlii)",Neotrygon kuhlii,Anteropora sp,23959
"SOUTHWELL, T. (1912) [26667] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Anthobothrium ceylonicum,26667
"RUHNKE, T.R. et.al. (2015) [22027]",Neotrygon kuhlii,Anthocephalum healyae,22027
"RUHNKE, T.R. et.al. (2015) [22027]",Neotrygon kuhlii,Anthocephalum odonnellae,22027
"BAER, J.G. et.al. (1962) [17089] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Balanobothrium parvum,17089
"SOUTHWELL, T. (1912) [26667] (used parasite: Rhinebothrium shipleyi | used host: Trygon kuhlii)",Neotrygon kuhlii,Barbeaucestus shipleyi,26667
"BAER, J.G. (1948) [16247] (used parasite: Rhinebothrium shipleyi | used host: Dasyatis kuhli)",Neotrygon kuhlii,Barbeaucestus shipleyi,16247
"BALL, D. et.al. (2003) [10842] (used parasite: Scalithrium shipleyi | used host: Dasyatis kuhlii)",Neotrygon kuhlii,Barbeaucestus shipleyi,10842
"CAIRA, J.N. et.al. (2017) [25321]",Neotrygon kuhlii,Barbeaucestus shipleyi,25321
"SOUTHWELL, T. (1927) [16410] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Cephalobothrium aetobatidis,16410
"WANG, P.Q. (1984) [16435] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Cephalobothrium longisegmentum,16435
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus michiae | used host: Amphotistius kuhlii)",Neotrygon kuhlii,Dollfusiella michiae,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Dollfusiella michiae,16112
"SCHAEFFNER, B.C. et.al. (2013) [19694]",Neotrygon kuhlii,Dollfusiella spinosa,19694
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Dollfusiella spinosa,21816
"SCHAEFFNER, B.C. et.al. (2013) [19694]",Neotrygon kuhlii,Dollfusiella spinulifera,19694
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Dollfusiella spinulifera,21816
"TYLER, G.A. (2006) [16430]",Neotrygon kuhlii,Echinobothrium longicolle,16430
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Echinobothrium longicolle,24952
"CAIRA, J.N. et.al. (2013) [19536]",Neotrygon kuhlii,Echinobothrium longicolle,19536
"CAIRA, J.N. et.al. (2013) [19536]",Neotrygon kuhlii,Echinobothrium sp,19536
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Eutetrarhynchus leucomelanus,16112
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Gilquinia sp,24952
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Halysiorhynchus macrocephalus,16112
"SOUTHWELL, T. (1927) [16410] (used parasite: Cephalobothrium abruptum | used host: Trygon kuhlii)",Neotrygon kuhlii,Hexacanalis abruptus,16410
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Kotorella pronosoma,21816
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Lecanicephalum sp,24952
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Mecistobothrium johnstonei,16112
"SOUTHWELL, T. (1925) [16408] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Onchobothrium farmeri,16408
"BAER, J.G. et.al. (1962) [17089] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Onchobothrium farmeri,17089
"SOUTHWELL, T. (1925) [16408] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Phyllobothrium lactuca,16408
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium compacta | used host: Trygon kuhlii)",Neotrygon kuhlii,Phyllobothrium lactuca,16443
"WILLIAMS, H.H. (1968) [16443] ( used host: Trygon kuhlii)",Neotrygon kuhlii,Phyllobothrium lactuca,16443
"WILLIAMS, H.H. (1968) [16443] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Phyllobothrium lactuca,16443
"WANG, P.Q. (1984) [16435] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Phyllobothrium ptychocephalum,16435
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium blakei | used host: Trygon kuhlii)",Neotrygon kuhlii,Phyllobothrium sp,16443
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium blakei | used host: Dasyatis kuhli)",Neotrygon kuhlii,Phyllobothrium sp,16443
"BAER, J.G. (1948) [16247] (used parasite: Parataenia elongata | used host: Dasyatis kuhli)",Neotrygon kuhlii,Polypocephalus elongatus,16247
"VANKARA, A.P. et.al. (2006) [16216] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Polypocephalus kuhlii,16216
"BEVERIDGE, I. et.al. (2010) [16097]",Neotrygon kuhlii,Prochristianella aciculata,16097
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Neotrygon kuhlii,Prochristianella aciculata,17404
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Prochristianella aciculata,21816
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Neotrygon kuhlii,Prochristianella butlerae,17404
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Prochristianella butlerae,21816
"BEVERIDGE, I. (1990) [16252] ( used host: Amphotistius kuhlii)",Neotrygon kuhlii,Prochristianella clarkeae,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Prochristianella clarkeae,16112
"SCHAEFFNER, B.C. et.al. (2012) [17404]",Neotrygon kuhlii,Prochristianella clarkeae,17404
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Neotrygon kuhlii,Prochristianella clarkeae,21816
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Prochristianella odonoghuei,16112
"BEVERIDGE, I. et.al. (2010) [16097]",Neotrygon kuhlii,Prochristianella omunae,16097
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Pterobothrium lintoni,16112
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Pterobothrium sp,16112
"BALL, D. et.al. (2003) [10842] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Scalithrium trygonis,10842
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Shirleyrhynchus aetobatidis,16112
"SCHAEFFNER, B.C. (2016) [24246]",Neotrygon kuhlii,Shirleyrhynchus aetobatidis,24246
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium variabile | used host: Dasyatis kuhli)",Neotrygon kuhlii,Spongiobothrium variabile,16443
"BEVERIDGE, I. et.al. (1988) [16255] ( used host: Amphotistius kuhlii)",Neotrygon kuhlii,Tetrarhynchobothrium rossi,16255
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Tetrarhynchobothrium rossi,16112
"PALM, H.W. (2004) [16112] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Trygonicola macroporus,16112
"SCHAEFFNER, B.C. et.al. (2014) [21816] (used parasite: Trygonicola macropora )",Neotrygon kuhlii,Trygonicola macroporus,21816
"CUTMORE, S.C. et.al. (2010) [11242]",Neotrygon kuhlii,Staphylorchis cymatodes,11242
"BOXSHALL, G. (2018) [26229]",Neotrygon kuhlii,Caligus dasyaticus,26229
"DEETS, G.B. (1994) [17867] ( used host: Dasyatis kuhli)",Neotrygon kuhlii,Eudactylina papillosa,17867
"OTA, Y. et.al. (2009) [21221] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Gnathia grandilaris,21221
"OTA, Y. (2015) [22155]",Neotrygon kuhlii,Gnathia grandilaris,22155
"OTA, Y. (2015) [22155]",Neotrygon kuhlii,Gnathia maculosa,22155
"OTA, Y. (2015) [22155]",Neotrygon kuhlii,Gnathia rufescens,22155
"OTA, Y. (2015) [22155]",Neotrygon kuhlii,Gnathia teruyukiae,22155
"OTA, Y. et.al. (2012) [17188]",Neotrygon kuhlii,Gnathia trimaculata,17188
"OTA, Y. (2015) [22155]",Neotrygon kuhlii,Gnathia trimaculata,22155
"BURRESON, E.M. (2020) [28595] ( used host: Dasyatis kuhlii)",Neotrygon kuhlii,Branchellion plicobranchus,28595
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus owensi | used host: Dasyatis leylandi)",Neotrygon leylandi,Dollfusiella owensi,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis leylandi)",Neotrygon leylandi,Dollfusiella owensi,16112
"SCHAEFFNER, B.C. et.al. (2013) [17827]",Neotrygon leylandi,Proemotobothrium linstowi,17827
"BEVERIDGE, I. (1990) [16252] ( used host: Dasyatis leylandi)",Neotrygon leylandi,Trigonolobium spinuliferum,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis leylandi)",Neotrygon leylandi,Trigonolobium spinuliferum,16112
"BEVERIDGE, I. et.al. (1988) [16255] ( used host: Dasyatis leylandi)",Neotrygon leylandi,Zygorhynchus robertsoni,16255
"PALM, H.W. (2004) [16112] ( used host: Dasyatis leylandi)",Neotrygon leylandi,Zygorhynchus robertsoni,16112
"SCHAEFFNER, B.C. et.al. (2012) [17404] ( used host: Neotrygon cf. ningalooensis)",Neotrygon ningalooensis,Prochristianella butlerae,17404
"SCHAEFFNER, B.C. et.al. (2012) [17404] ( used host: Neotrygon cf. ningalooensis)",Neotrygon ningalooensis,Prochristianella clarkeae,17404
"CAIRA, J.N. et.al. (2017) [25321]",Neotrygon orientale,Barbeaucestus jockuschae,25321
"SCHAEFFNER, B.C. et.al. (2013) [17827]",Neotrygon picta,Proemotobothrium linstowi,17827
"KRITSKY, D.C. et.al. (2020) [29167]",Neotrygon trigonoides,Dendromonocotyle kuhlii,29167
